task_id,account_id,project_id,created_by_user_id,assignee_user_id,task_status,priority,has_blocker,created_at_utc,start_at_utc,due_at_utc,completed_at_utc
tsk_000019,acc_0001,prj_00002,usr_00007,usr_00011,backlog,low,False,2026-02-16 00:00:00+00:00,2026-02-19 00:00:00+00:00,2026-02-27 00:00:00+00:00,
tsk_000020,acc_0001,prj_00002,usr_00007,,done,medium,False,2026-02-19 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-03-05 00:00:00+00:00,2026-02-24 00:00:00+00:00
tsk_000021,acc_0001,prj_00002,usr_00013,usr_00014,in_progress,low,False,2026-02-15 00:00:00+00:00,2026-02-18 00:00:00+00:00,2026-03-02 00:00:00+00:00,
tsk_000022,acc_0001,prj_00002,usr_00013,usr_00012,in_progress,medium,False,2026-02-21 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-03-02 00:00:00+00:00,
tsk_000023,acc_0001,prj_00002,usr_00004,usr_00007,done,high,True,2026-02-19 00:00:00+00:00,2026-02-20 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-02-24 00:00:00+00:00
tsk_000024,acc_0001,prj_00002,usr_00013,usr_00012,done,low,False,2026-02-22 00:00:00+00:00,2026-02-23 00:00:00+00:00,2026-02-28 00:00:00+00:00,2026-02-25 00:00:00+00:00
tsk_000025,acc_0001,prj_00002,usr_00002,usr_00006,backlog,medium,False,2026-02-21 00:00:00+00:00,2026-02-23 00:00:00+00:00,2026-03-01 00:00:00+00:00,
tsk_000026,acc_0001,prj_00002,usr_00003,usr_00007,in_progress,high,False,2026-02-16 00:00:00+00:00,2026-02-18 00:00:00+00:00,2026-03-02 00:00:00+00:00,
tsk_000027,acc_0001,prj_00002,usr_00003,usr_00001,in_progress,medium,False,2026-02-16 00:00:00+00:00,2026-02-16 00:00:00+00:00,2026-03-02 00:00:00+00:00,
tsk_000028,acc_0001,prj_00002,usr_00014,usr_00008,done,low,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-04 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000029,acc_0001,prj_00002,usr_00001,usr_00010,done,medium,False,2026-02-22 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-02 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000030,acc_0001,prj_00002,usr_00009,usr_00008,cancelled,medium,False,2026-02-23 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-17 00:00:00+00:00,
tsk_000031,acc_0001,prj_00002,usr_00003,usr_00014,done,medium,False,2026-02-16 00:00:00+00:00,2026-02-16 00:00:00+00:00,2026-02-24 00:00:00+00:00,2026-02-19 00:00:00+00:00
tsk_000032,acc_0001,prj_00002,usr_00002,usr_00004,backlog,low,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-05 00:00:00+00:00,
tsk_000033,acc_0001,prj_00002,usr_00001,usr_00012,backlog,medium,False,2026-02-21 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-02-25 00:00:00+00:00,
tsk_000034,acc_0001,prj_00002,usr_00014,usr_00007,in_progress,medium,False,2026-02-22 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-11 00:00:00+00:00,
tsk_000035,acc_0001,prj_00002,usr_00005,usr_00002,in_progress,medium,False,2026-02-21 00:00:00+00:00,2026-02-24 00:00:00+00:00,2026-03-09 00:00:00+00:00,
tsk_000036,acc_0001,prj_00002,usr_00003,,in_progress,low,False,2026-02-17 00:00:00+00:00,2026-02-19 00:00:00+00:00,2026-02-25 00:00:00+00:00,
tsk_000037,acc_0001,prj_00002,usr_00009,usr_00006,in_progress,high,False,2026-02-22 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-03 00:00:00+00:00,
tsk_000038,acc_0001,prj_00002,usr_00004,usr_00009,in_progress,medium,False,2026-02-22 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-09 00:00:00+00:00,
tsk_000039,acc_0001,prj_00002,usr_00011,usr_00005,in_progress,medium,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-06 00:00:00+00:00,
tsk_000040,acc_0001,prj_00003,usr_00011,usr_00011,backlog,medium,False,2026-01-19 00:00:00+00:00,2026-01-22 00:00:00+00:00,2026-02-09 00:00:00+00:00,
tsk_000041,acc_0001,prj_00003,usr_00001,usr_00004,blocked,high,True,2026-02-12 00:00:00+00:00,2026-02-15 00:00:00+00:00,2026-03-03 00:00:00+00:00,
tsk_000042,acc_0001,prj_00003,usr_00014,usr_00003,done,medium,False,2025-12-30 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-19 00:00:00+00:00,2026-01-11 00:00:00+00:00
tsk_000043,acc_0001,prj_00003,usr_00002,usr_00003,in_progress,high,False,2026-02-16 00:00:00+00:00,2026-02-16 00:00:00+00:00,2026-02-26 00:00:00+00:00,
tsk_000044,acc_0001,prj_00003,usr_00012,usr_00009,cancelled,low,False,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,2026-02-06 00:00:00+00:00,
tsk_000045,acc_0001,prj_00003,usr_00009,usr_00005,done,high,False,2026-01-27 00:00:00+00:00,2026-01-28 00:00:00+00:00,2026-02-07 00:00:00+00:00,2026-02-10 00:00:00+00:00
tsk_000046,acc_0001,prj_00003,usr_00008,,blocked,high,True,2026-02-10 00:00:00+00:00,2026-02-11 00:00:00+00:00,2026-02-21 00:00:00+00:00,
tsk_000047,acc_0001,prj_00003,usr_00008,usr_00010,blocked,medium,True,2026-01-26 00:00:00+00:00,2026-01-28 00:00:00+00:00,2026-02-07 00:00:00+00:00,
tsk_000048,acc_0001,prj_00003,usr_00014,usr_00009,in_progress,critical,False,2026-01-08 00:00:00+00:00,2026-01-10 00:00:00+00:00,2026-01-25 00:00:00+00:00,
tsk_000049,acc_0001,prj_00003,usr_00010,usr_00005,done,medium,False,2026-01-26 00:00:00+00:00,2026-01-26 00:00:00+00:00,2026-02-03 00:00:00+00:00,2026-02-12 00:00:00+00:00
tsk_000050,acc_0001,prj_00003,usr_00007,usr_00005,in_progress,medium,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-16 00:00:00+00:00,
tsk_000051,acc_0001,prj_00003,usr_00008,usr_00002,in_progress,low,False,2026-01-27 00:00:00+00:00,2026-01-29 00:00:00+00:00,2026-02-09 00:00:00+00:00,
tsk_000052,acc_0001,prj_00003,usr_00008,usr_00003,in_progress,high,False,2026-01-31 00:00:00+00:00,2026-01-31 00:00:00+00:00,2026-02-21 00:00:00+00:00,
tsk_000053,acc_0001,prj_00003,usr_00014,usr_00001,in_progress,high,False,2026-01-15 00:00:00+00:00,2026-01-17 00:00:00+00:00,2026-02-06 00:00:00+00:00,
tsk_000054,acc_0001,prj_00003,usr_00004,usr_00003,in_progress,medium,False,2026-01-21 00:00:00+00:00,2026-01-22 00:00:00+00:00,2026-02-02 00:00:00+00:00,
tsk_000055,acc_0001,prj_00003,usr_00011,usr_00014,backlog,medium,False,2026-01-14 00:00:00+00:00,2026-01-17 00:00:00+00:00,2026-02-02 00:00:00+00:00,
tsk_000056,acc_0001,prj_00004,usr_00001,usr_00011,in_progress,high,False,2026-02-20 00:00:00+00:00,2026-02-22 00:00:00+00:00,2026-03-01 00:00:00+00:00,
tsk_000057,acc_0001,prj_00004,usr_00013,usr_00006,blocked,low,True,2026-02-17 00:00:00+00:00,2026-02-19 00:00:00+00:00,2026-02-27 00:00:00+00:00,
tsk_000058,acc_0001,prj_00004,usr_00008,usr_00003,done,low,False,2026-02-18 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-03-12 00:00:00+00:00,2026-02-23 00:00:00+00:00
tsk_000059,acc_0001,prj_00004,usr_00011,usr_00005,in_progress,critical,False,2026-02-21 00:00:00+00:00,2026-02-23 00:00:00+00:00,2026-03-15 00:00:00+00:00,
tsk_000060,acc_0001,prj_00004,usr_00003,usr_00002,backlog,medium,False,2026-02-24 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-08 00:00:00+00:00,
tsk_000061,acc_0001,prj_00004,usr_00013,usr_00003,in_progress,medium,False,2026-02-21 00:00:00+00:00,2026-02-22 00:00:00+00:00,2026-03-10 00:00:00+00:00,
tsk_000062,acc_0001,prj_00004,usr_00014,usr_00013,backlog,high,False,2026-02-13 00:00:00+00:00,2026-02-14 00:00:00+00:00,2026-02-25 00:00:00+00:00,
tsk_000063,acc_0001,prj_00004,usr_00009,usr_00001,done,low,False,2026-02-17 00:00:00+00:00,2026-02-17 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-02-24 00:00:00+00:00
tsk_000064,acc_0001,prj_00004,usr_00013,usr_00002,done,critical,False,2026-02-03 00:00:00+00:00,2026-02-05 00:00:00+00:00,2026-02-22 00:00:00+00:00,2026-02-22 00:00:00+00:00
tsk_000065,acc_0001,prj_00004,usr_00001,,in_progress,high,False,2026-02-06 00:00:00+00:00,2026-02-08 00:00:00+00:00,2026-02-22 00:00:00+00:00,
tsk_000066,acc_0001,prj_00004,usr_00008,usr_00008,in_progress,medium,False,2026-02-20 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-02-28 00:00:00+00:00,
tsk_000067,acc_0001,prj_00004,usr_00014,usr_00009,done,medium,True,2026-02-04 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-22 00:00:00+00:00,2026-02-19 00:00:00+00:00
tsk_000068,acc_0001,prj_00004,usr_00002,usr_00008,backlog,high,False,2026-02-14 00:00:00+00:00,2026-02-17 00:00:00+00:00,2026-03-09 00:00:00+00:00,
tsk_000069,acc_0001,prj_00004,usr_00005,usr_00004,cancelled,high,False,2026-02-21 00:00:00+00:00,2026-02-23 00:00:00+00:00,2026-03-11 00:00:00+00:00,
tsk_000070,acc_0001,prj_00004,usr_00009,usr_00004,cancelled,low,False,2026-02-12 00:00:00+00:00,2026-02-12 00:00:00+00:00,2026-02-26 00:00:00+00:00,
tsk_000071,acc_0001,prj_00004,usr_00004,usr_00005,in_progress,critical,False,2026-02-24 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-03 00:00:00+00:00,
tsk_000072,acc_0001,prj_00004,usr_00009,usr_00002,in_progress,high,False,2026-02-05 00:00:00+00:00,2026-02-07 00:00:00+00:00,2026-02-25 00:00:00+00:00,
tsk_000073,acc_0001,prj_00004,usr_00013,usr_00010,backlog,medium,False,2026-02-18 00:00:00+00:00,2026-02-18 00:00:00+00:00,2026-03-07 00:00:00+00:00,
tsk_000074,acc_0001,prj_00004,usr_00013,usr_00012,in_progress,low,False,2026-02-20 00:00:00+00:00,2026-02-20 00:00:00+00:00,2026-03-05 00:00:00+00:00,
tsk_000075,acc_0001,prj_00004,usr_00009,usr_00013,backlog,high,False,2026-02-12 00:00:00+00:00,2026-02-14 00:00:00+00:00,2026-03-02 00:00:00+00:00,
tsk_000076,acc_0001,prj_00004,usr_00009,,cancelled,high,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-10 00:00:00+00:00,
tsk_000077,acc_0001,prj_00004,usr_00002,usr_00012,backlog,high,True,2026-02-06 00:00:00+00:00,2026-02-06 00:00:00+00:00,2026-02-16 00:00:00+00:00,
tsk_000078,acc_0001,prj_00004,usr_00004,usr_00012,cancelled,high,False,2026-02-18 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-03-12 00:00:00+00:00,
tsk_000079,acc_0001,prj_00004,usr_00012,usr_00005,cancelled,low,True,2026-02-04 00:00:00+00:00,2026-02-06 00:00:00+00:00,2026-02-09 00:00:00+00:00,
tsk_000080,acc_0001,prj_00005,usr_00009,usr_00011,done,low,False,2026-01-30 00:00:00+00:00,2026-02-02 00:00:00+00:00,2026-02-23 00:00:00+00:00,2026-02-09 00:00:00+00:00
tsk_000081,acc_0001,prj_00005,usr_00006,usr_00004,backlog,medium,False,2026-01-10 00:00:00+00:00,2026-01-11 00:00:00+00:00,2026-01-29 00:00:00+00:00,
tsk_000082,acc_0001,prj_00005,usr_00013,usr_00011,backlog,medium,False,2026-02-14 00:00:00+00:00,2026-02-17 00:00:00+00:00,2026-02-21 00:00:00+00:00,
tsk_000083,acc_0001,prj_00005,usr_00006,usr_00008,backlog,medium,False,2026-02-15 00:00:00+00:00,2026-02-15 00:00:00+00:00,2026-02-23 00:00:00+00:00,
tsk_000084,acc_0001,prj_00005,usr_00007,usr_00005,done,high,False,2026-02-02 00:00:00+00:00,2026-02-05 00:00:00+00:00,2026-02-19 00:00:00+00:00,2026-02-22 00:00:00+00:00
tsk_000085,acc_0001,prj_00005,usr_00009,usr_00001,done,medium,False,2026-02-06 00:00:00+00:00,2026-02-06 00:00:00+00:00,2026-02-22 00:00:00+00:00,2026-02-13 00:00:00+00:00
tsk_000086,acc_0001,prj_00005,usr_00012,usr_00013,done,critical,False,2026-01-09 00:00:00+00:00,2026-01-12 00:00:00+00:00,2026-01-24 00:00:00+00:00,2026-02-22 00:00:00+00:00
tsk_000087,acc_0001,prj_00005,usr_00008,usr_00001,done,medium,False,2026-01-26 00:00:00+00:00,2026-01-28 00:00:00+00:00,2026-02-07 00:00:00+00:00,2026-01-30 00:00:00+00:00
tsk_000088,acc_0001,prj_00005,usr_00013,usr_00011,in_progress,low,False,2026-02-23 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-08 00:00:00+00:00,
tsk_000089,acc_0001,prj_00005,usr_00014,usr_00014,backlog,low,False,2026-02-22 00:00:00+00:00,2026-02-23 00:00:00+00:00,2026-03-16 00:00:00+00:00,
tsk_000090,acc_0001,prj_00005,usr_00006,usr_00001,in_progress,medium,False,2026-01-18 00:00:00+00:00,2026-01-20 00:00:00+00:00,2026-02-08 00:00:00+00:00,
tsk_000091,acc_0001,prj_00005,usr_00007,usr_00003,in_progress,medium,False,2026-01-11 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-19 00:00:00+00:00,
tsk_000092,acc_0001,prj_00005,usr_00008,usr_00006,in_progress,medium,False,2026-02-05 00:00:00+00:00,2026-02-05 00:00:00+00:00,2026-02-25 00:00:00+00:00,
tsk_000093,acc_0001,prj_00005,usr_00010,usr_00010,in_progress,high,False,2026-01-23 00:00:00+00:00,2026-01-26 00:00:00+00:00,2026-02-08 00:00:00+00:00,
tsk_000094,acc_0001,prj_00005,usr_00001,usr_00007,backlog,medium,False,2026-01-22 00:00:00+00:00,2026-01-24 00:00:00+00:00,2026-01-31 00:00:00+00:00,
tsk_000095,acc_0001,prj_00005,usr_00002,usr_00008,in_progress,medium,False,2026-01-20 00:00:00+00:00,2026-01-22 00:00:00+00:00,2026-01-30 00:00:00+00:00,
tsk_000096,acc_0001,prj_00005,usr_00014,usr_00004,backlog,low,False,2026-01-21 00:00:00+00:00,2026-01-23 00:00:00+00:00,2026-02-11 00:00:00+00:00,
tsk_000097,acc_0001,prj_00005,usr_00008,usr_00010,in_progress,medium,False,2026-02-10 00:00:00+00:00,2026-02-10 00:00:00+00:00,2026-03-02 00:00:00+00:00,
tsk_000098,acc_0001,prj_00005,usr_00009,usr_00013,done,high,False,2026-02-07 00:00:00+00:00,2026-02-10 00:00:00+00:00,2026-02-13 00:00:00+00:00,2026-02-19 00:00:00+00:00
tsk_000099,acc_0001,prj_00005,usr_00009,usr_00006,in_progress,high,False,2026-02-10 00:00:00+00:00,2026-02-10 00:00:00+00:00,2026-02-28 00:00:00+00:00,
tsk_000100,acc_0001,prj_00005,usr_00003,usr_00005,in_progress,low,False,2026-02-19 00:00:00+00:00,2026-02-21 00:00:00+00:00,2026-02-26 00:00:00+00:00,
tsk_000101,acc_0001,prj_00005,usr_00008,usr_00001,backlog,high,False,2026-02-14 00:00:00+00:00,2026-02-16 00:00:00+00:00,2026-02-20 00:00:00+00:00,
tsk_000102,acc_0001,prj_00005,usr_00008,usr_00013,in_progress,low,False,2026-02-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,2026-02-15 00:00:00+00:00,
tsk_000103,acc_0001,prj_00006,usr_00005,usr_00012,backlog,low,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-16 00:00:00+00:00,
tsk_000104,acc_0001,prj_00006,usr_00003,usr_00001,backlog,high,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-18 00:00:00+00:00,
tsk_000105,acc_0001,prj_00006,usr_00006,,in_progress,critical,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-06 00:00:00+00:00,
tsk_000106,acc_0001,prj_00006,usr_00001,usr_00005,done,high,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-19 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000107,acc_0001,prj_00006,usr_00004,usr_00001,in_progress,medium,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-01 00:00:00+00:00,
tsk_000108,acc_0001,prj_00006,usr_00007,,backlog,critical,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-09 00:00:00+00:00,
tsk_000109,acc_0001,prj_00006,usr_00010,usr_00001,in_progress,high,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-17 00:00:00+00:00,
tsk_000110,acc_0001,prj_00006,usr_00002,usr_00010,done,low,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-03 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000111,acc_0001,prj_00006,usr_00002,usr_00013,in_progress,high,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-15 00:00:00+00:00,
tsk_000112,acc_0001,prj_00006,usr_00006,usr_00003,blocked,low,True,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-09 00:00:00+00:00,
tsk_000113,acc_0001,prj_00006,usr_00012,usr_00013,cancelled,medium,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-08 00:00:00+00:00,
tsk_000114,acc_0001,prj_00006,usr_00004,usr_00013,backlog,medium,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-03 00:00:00+00:00,
tsk_000115,acc_0001,prj_00006,usr_00007,usr_00013,done,high,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-05 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000116,acc_0001,prj_00006,usr_00013,usr_00001,in_progress,medium,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-12 00:00:00+00:00,
tsk_000117,acc_0001,prj_00006,usr_00012,usr_00006,in_progress,critical,False,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-05 00:00:00+00:00,
tsk_000118,acc_0001,prj_00007,usr_00012,usr_00010,backlog,low,False,2026-01-20 00:00:00+00:00,2026-01-22 00:00:00+00:00,2026-02-12 00:00:00+00:00,
tsk_000119,acc_0001,prj_00007,usr_00006,usr_00001,backlog,medium,False,2026-02-16 00:00:00+00:00,2026-02-19 00:00:00+00:00,2026-03-03 00:00:00+00:00,
tsk_000120,acc_0001,prj_00007,usr_00002,usr_00010,backlog,medium,False,2026-02-03 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-17 00:00:00+00:00,
tsk_000121,acc_0001,prj_00007,usr_00003,usr_00007,in_progress,low,False,2026-01-26 00:00:00+00:00,2026-01-27 00:00:00+00:00,2026-02-06 00:00:00+00:00,
tsk_000122,acc_0001,prj_00007,usr_00008,usr_00011,backlog,high,False,2026-01-11 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-30 00:00:00+00:00,
tsk_000123,acc_0001,prj_00007,usr_00008,usr_00012,in_progress,high,False,2026-02-10 00:00:00+00:00,2026-02-11 00:00:00+00:00,2026-07-17 00:00:00+00:00,
tsk_000124,acc_0001,prj_00007,usr_00002,usr_00002,backlog,high,False,2025-12-24 00:00:00+00:00,2025-12-25 00:00:00+00:00,2026-01-13 00:00:00+00:00,
tsk_000125,acc_0001,prj_00007,usr_00005,usr_00004,backlog,medium,False,2026-02-11 00:00:00+00:00,2026-02-13 00:00:00+00:00,2026-02-22 00:00:00+00:00,
tsk_000126,acc_0001,prj_00007,usr_00012,,in_progress,medium,False,2026-01-13 00:00:00+00:00,2026-01-14 00:00:00+00:00,2026-02-04 00:00:00+00:00,
tsk_000127,acc_0001,prj_00007,usr_00005,usr_00008,done,high,False,2026-01-31 00:00:00+00:00,2026-01-31 00:00:00+00:00,2026-06-23 00:00:00+00:00,2026-02-22 00:00:00+00:00
tsk_000128,acc_0001,prj_00007,usr_00013,usr_00005,cancelled,medium,False,2026-01-21 00:00:00+00:00,2026-01-22 00:00:00+00:00,2026-02-08 00:00:00+00:00,
tsk_000129,acc_0001,prj_00007,usr_00014,usr_00011,backlog,medium,False,2026-02-01 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-15 00:00:00+00:00,
tsk_000130,acc_0001,prj_00007,usr_00014,usr_00002,backlog,medium,False,2026-01-07 00:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-25 00:00:00+00:00,
tsk_000131,acc_0001,prj_00007,usr_00003,usr_00007,done,low,False,2026-02-22 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000132,acc_0001,prj_00008,usr_00010,usr_00005,done,medium,False,2026-01-25 00:00:00+00:00,2026-01-26 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-01 00:00:00+00:00
tsk_000133,acc_0001,prj_00008,usr_00004,usr_00011,cancelled,medium,False,2026-01-22 00:00:00+00:00,2026-01-25 00:00:00+00:00,2026-01-31 00:00:00+00:00,
tsk_000134,acc_0001,prj_00008,usr_00013,usr_00007,backlog,medium,False,2026-01-26 00:00:00+00:00,2026-01-26 00:00:00+00:00,2026-02-09 00:00:00+00:00,
tsk_000135,acc_0001,prj_00008,usr_00005,usr_00014,in_progress,high,False,2026-01-05 00:00:00+00:00,2026-01-05 00:00:00+00:00,2026-01-26 00:00:00+00:00,
tsk_000136,acc_0001,prj_00008,usr_00013,usr_00001,in_progress,high,False,2025-12-02 00:00:00+00:00,2025-12-03 00:00:00+00:00,2025-12-20 00:00:00+00:00,
tsk_000137,acc_0001,prj_00008,usr_00014,usr_00012,in_progress,high,False,2026-01-17 00:00:00+00:00,2026-01-18 00:00:00+00:00,2026-01-28 00:00:00+00:00,
tsk_000138,acc_0001,prj_00008,usr_00005,usr_00006,done,high,False,2025-12-29 00:00:00+00:00,2025-12-29 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-04 00:00:00+00:00
tsk_000139,acc_0001,prj_00008,usr_00008,usr_00001,in_progress,high,False,2026-01-28 00:00:00+00:00,2026-01-30 00:00:00+00:00,2026-02-17 00:00:00+00:00,
tsk_000140,acc_0001,prj_00008,usr_00003,usr_00008,done,medium,False,2026-02-24 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-18 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000141,acc_0001,prj_00008,usr_00005,usr_00005,done,high,False,2025-12-03 00:00:00+00:00,2025-12-05 00:00:00+00:00,2025-12-09 00:00:00+00:00,2025-12-22 00:00:00+00:00
tsk_000142,acc_0001,prj_00008,usr_00012,usr_00014,in_progress,medium,False,2026-01-01 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-06 00:00:00+00:00,
tsk_000143,acc_0001,prj_00008,usr_00001,usr_00008,in_progress,high,False,2026-02-04 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-21 00:00:00+00:00,
tsk_000144,acc_0001,prj_00008,usr_00002,usr_00001,in_progress,low,False,2026-01-28 00:00:00+00:00,2026-01-28 00:00:00+00:00,2026-02-01 00:00:00+00:00,
tsk_000145,acc_0001,prj_00008,usr_00005,usr_00011,done,medium,False,2025-12-11 00:00:00+00:00,2025-12-12 00:00:00+00:00,2025-12-15 00:00:00+00:00,2026-02-14 00:00:00+00:00
